HOUSEID,PERSONID,TRPTRANS,TRPACCMP,DRVRCNT,EDUC,HHFAMINC,HHSIZE,HHSTATE,HHVEHCNT,HOMEOWN,R_AGE_IMP,R_SEX_IMP,TRPMILES,TRVLCMIN,URBRUR,WORKER,WHYTRP1S,STRTTIME,TRIPPURP,choice,DA,SR,Transit,Bicycle,Walk,av_DA,av_SR,av_Transit,av_Bicycle,av_Walk,constant,DRVRCNT_imp,DRVRCNT_zero,DRVRCNT_one,DRVRCNT_two,DRVRCNT_3GE,education,less_Bachelor,Bachelor,Graduate,hhincome,hhincome_1,hhincome_2,hhincome_3,hhincome_4,hhsize,hhsize_1,hhsize_2,hhsize_3,hhsize_4,hhsize_5,hhsize3GE,HHVEHCNT_imp,veh_zero,veh_one,veh_two,veh_3GE,AGE,age_LE18,age18_24,age25_29,age30_44,age45_59,age60_74,age_75GE,Urban_Rural,Employ_status,Gender,Norm_tripmile,Norm_triptime,triptime_scaled,triptime_log,IndivID,ALT_16,ALT_23,ALT_45
30000007,2,6,0,3,3,7,3,NC,5,1,66,1,84.004,120,1,1,1,700,HBW,1,1,0,0,0,0,1,0,0,0,0,1,4,0,0,0,1,1,1,0,0,3,0,0,0,1,3,0,0,1,0,0,1,4,0,0,0,0,6,0,0,0,0,0,1,0,1,1,1,0.028702175,0.113441373,1.2,2.079181246,300000072,-1,-1,-1
30000012,1,3,0,1,5,10,1,NY,2,1,45,2,4.291,20,1,1,10,900,HBW,1,1,0,0,0,0,1,1,1,1,1,1,2,0,0,1,0,3,0,0,1,4,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,1,5,0,0,0,0,1,0,0,1,1,0,0.001465809,0.018112488,0.2,1.301029996,300000121,3,1,3
30000039,1,4,0,2,5,10,2,PA,2,1,82,1,11.545,20,1,1,10,800,HBW,1,1,0,0,0,0,1,0,1,0,0,1,3,0,0,0,1,3,0,0,1,4,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,1,7,0,0,0,0,0,0,1,1,1,1,0.003944358,0.018112488,0.2,1.301029996,300000391,1,4,4
30000041,2,3,0,2,1,11,2,CA,2,1,40,2,77.937,120,1,1,10,900,HBW,1,1,0,0,0,0,1,0,1,1,1,1,3,0,0,0,1,1,1,0,0,4,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,1,4,0,0,0,1,0,0,0,1,1,0,0.0266292,0.113441373,1.2,2.079181246,300000412,3,4,3
30000062,1,3,1,2,4,10,2,TX,6,1,50,2,60.357,70,2,1,10,710,HBW,2,0,1,0,0,0,1,1,0,0,0,1,3,0,0,0,1,2,0,1,0,4,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0.02062246,0.06577693,0.7,1.84509804,300000621,4,3,4
30000085,1,1,0,1,4,9,1,CA,2,1,30,1,0.251,5,1,1,10,740,HBW,5,0,0,0,0,1,0,1,1,0,1,1,2,0,0,1,0,2,0,1,0,4,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,1,4,0,0,0,1,0,0,0,1,1,1,8.54E-05,0.003813155,0.05,0.698970004,300000851,3,3,2
30000089,2,3,0,2,3,7,4,TX,2,1,33,2,31.281,30,2,1,10,700,HBW,1,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,1,1,0,0,3,0,0,0,1,4,0,0,0,1,0,1,3,0,0,0,1,4,0,0,0,1,0,0,0,0,1,0,0.010687762,0.027645377,0.3,1.477121255,300000892,-1,-1,-1
30000094,1,3,0,1,5,4,1,CA,1,2,30,2,8.05,15,1,1,10,740,HBW,1,1,0,0,0,0,1,1,1,1,0,1,2,0,0,1,0,3,0,0,1,2,0,0,1,0,1,1,0,0,0,0,0,2,0,0,1,0,4,0,0,0,1,0,0,0,1,1,0,0.002750185,0.013346044,0.15,1.176091259,300000941,3,3,1
30000130,1,11,0,2,5,5,2,NY,1,1,45,2,11.229,75,1,1,10,800,HBW,3,0,0,1,0,0,0,0,1,0,1,1,3,0,0,0,1,3,0,0,1,2,0,0,1,0,2,0,1,0,0,0,0,2,0,0,1,0,5,0,0,0,0,1,0,0,1,1,0,0.003836387,0.070543375,0.75,1.875061263,300001301,3,4,2
30000145,1,6,0,2,2,7,2,TX,2,2,59,1,3.181,9,1,1,10,632,HBW,1,1,0,0,0,0,1,1,0,1,1,1,3,0,0,0,1,1,1,0,0,3,0,0,0,1,2,0,1,0,0,0,0,3,0,0,0,1,5,0,0,0,0,1,0,0,1,1,1,0.001086544,0.007626311,0.09,0.954242509,300001451,4,2,3
