,estimate,std_errors,t_ratios
travelcost,-0.002975303,0.0003623231,-8.21174
traveltime,-0.053304005,0.0027897249,-19.107264
travelincentive,0.0037634694,0.00033702346,11.166787
bus_constant,-0.0008652758,0.00043635193,-1.9829769
train_constant,-0.00030515462,9.11329e-05,-3.3484573
walk_constant,-0.00036377035,0.0001819002,-1.9998348
bike_constant,-0.0005135393,0.00013643265,-3.76405
motor_constant,-0.00038940622,7.55659e-05,-5.1532006
AGE_bus,-0.007939758,0.003889228,-2.041474
AGE_train,-0.016765993,0.0027972853,-5.9936657
AGE_walk,-0.0031053291,0.0018041369,-1.7212269
AGE_bike,-0.014441934,0.0011149435,-12.953064
AGE_motor,-0.025558647,0.0030500607,-8.379718
Female_bus,-0.0015309599,0.0010756387,-1.4233031
Female_train,1.1307014e-05,0.00012504449,0.09042393
Female_walk,-0.0016143031,0.0011494533,-1.4044094
Female_bike,0.00012786099,0.00014800283,0.86390907
Female_motor,-0.0006088515,0.0003016915,-2.018126
high_income_bus,0.0007261852,0.00060689007,1.196568
high_income_train,-0.00061005435,0.0003994893,-1.5270855
high_income_walk,0.0004160354,0.00031944923,1.3023521
high_income_bike,0.0003337924,0.0002894625,1.1531456
high_income_motor,2.5220885e-05,6.0481834e-05,0.41699934
nearest_bus_dist_bus,0.00014561777,0.00028120278,0.517839
nearest_train_dist_train,-9.989303e-05,6.506784e-05,-1.5352136
