,estimate,std_errors,t_ratios
travelcost,-0.003019725,0.00037091516,-8.141282
traveltime,-0.054786265,0.0038721547,-14.14878
travelincentive,0.003741313,0.0003387295,11.045135
bus_constant,-0.0015598857,0.0013380939,-1.165752
train_constant,-0.00024200861,0.00014682146,-1.648319
walk_constant,-0.00058911485,0.00044887958,-1.3124118
bike_constant,-0.00069963414,0.00036518127,-1.9158543
motor_constant,-0.00027659145,0.0002191378,-1.2621804
AGE_bus,-0.006713039,0.004484396,-1.4969772
AGE_train,-0.015940385,0.003171209,-5.0265956
AGE_walk,-0.0019949311,0.0027072043,-0.7368972
AGE_bike,-0.014717301,0.0012208506,-12.054956
AGE_motor,-0.024429683,0.003699939,-6.602726
Female_bus,-0.003089548,0.0030350157,-1.0179677
Female_train,0.0001678241,0.00031132955,0.5390561
Female_walk,-0.003261171,0.0032114997,-1.0154667
Female_bike,0.00032179384,0.00038290082,0.8404104
Female_motor,-0.0010002783,0.0007738804,-1.2925489
high_income_bus,0.00158133,0.0016712046,0.94622165
high_income_train,-0.0011813391,0.0011142391,-1.0602205
high_income_walk,0.0008719556,0.0008894949,0.9802817
high_income_bike,0.00074221456,0.00079803425,0.93005353
high_income_motor,5.4110755e-05,8.015888e-05,0.67504376
nearest_bus_dist_bus,0.00014324024,0.00028135107,0.50911564
nearest_train_dist_train,-0.000102083126,6.5294276e-05,-1.5634315
