,estimate,std_errors,t_ratios
travelcost,-0.0028593643,0.00023029538,-12.416073
traveltime,-0.06009995,0.0029030105,-20.70263
travelincentive,0.0034058127,0.0003265879,10.428472
bus_constant,0.028954484,0.0035395804,8.1802025
train_constant,-0.75429994,0.091208175,-8.270091
walk_constant,0.16914177,0.020535668,8.236487
bike_constant,-0.26631457,0.03219409,-8.272158
motor_constant,-0.4349565,0.052603565,-8.268575
nearest_bus_dist_bus,-4.594957e-05,5.55982e-06,-8.264579
nearest_train_dist_train,-8.2382046e-10,9.195804e-08,-0.008958655
